word,meaning
aku,Am saying; do say. ngamu; ngaku; ngana; ngara
ana,Girls name; Ana. he said
anidyu,Honeydew
atul,Decision. atup/atap; of roof; to put on roof; flatulence; affect another with ones flatulence; kind of fruit
abak,Morning; to become morning
abaka,Abaca plant; hemp fiber or cloth
abala,Worry; bother; to worry or cause worry
abe,To accompany; friend; companion; to live together
abisu,Warning; subpoena; to warn someone
ablas,Morning; to do something until morning; to become morning; to return something in kind; echo; revenge
abo,Leftover food
abono,Fertilizer; to fertilize
abril,April
absang,Gnat; fruit fly; a very small insect
absiq,Satisfied with respect to hunger; full from eating
abu,Ash; ashes; to become ash
abugadu,Lawyer
abukadu,Avocado
abulud,To remove the center rib from a leaf; to put a crease in something
abusadu,One who takes unfair advantage; abusive person
abut,To reach something; to hand something over; to grasp or understand
abyas,Milled rice; husked rice
acata,Large
adiq,Said; to grate; scrape; stool; place for scraping; pray - pray for something; pray together; - pray together for
adjar,Grate; scrape; stool; place for scraping
admirul,Starched
adwaq,Two; the second one; to do something a second time
agad,Immediately; straightaway; at once
aginaldu,Christmas gift
agiq,Spider web; cobweb; covered with cobwebs
agkat,To summon; to invite; to signal
agosto,Month of August
agtal,Harvest; gather; nagtal the harvest; place of harvest
agum,Associate. agum join group; an association. associate; concomitant
agus,Current; flow of water
agyang,Even; in spite of; although
agyap,Cold sore; have cold sore
agyuq,Sufficient
akasya,Acacia tree
akbak,See dictionary entry
akbung,Explosion; a spit or skewer of bamboo for barbecuing; a toy pop-gun made of bamboo
akit,Earnings; income
aklat,Book; library
akmul,To swallow something; the throat
aksayaq,Extravagant; wasteful
aksidenti,Accident; to have an accident; to be hurt in an accident
aku,Short form of aku
aladin,A type of fuel-burning lamp
alak,Liquor; alcoholic drink
alakdan,Scorpion
alal,Election; manner of electing; polling place; elect repeatedly; get someone elected; alal cause election; be elected
alalay,None; things; be lost unintentionally; walaq be lost; go along in denying; deny; denounce; election; manner of electing; polling place; elect repeatedly; get someone elected; alal cause election; be elected; alale care. prop; support; something; beware careful (e.g. speech)
alambre,Wire; barbed wire
alas,Combination with numbers; as alas singko five oclock. bungang alas alas ace (in )
alat,Salty; ocean. alataq/ alatadu
albe,/qalatadu; albe watch. watch something; ayalbe
albug,Flood. albug; flooded regularly; albug
albugan,Place where the sun sets; be caught by nightfall
albul,Drying device for fishnets
albularyu,Folk doctor. see
alburutu,Noise; make noise
aldo,Sun; day; birthday; anniversary
alikabuk,Dust; dusty; covered with dust
alili,Change something; alili changing; lili/kayalili successor
alimasag,Spotted crab. alimbawaq; example. giving of examples; thing used for an example; the best example; alimbawaq give an example; make into an example; alimpuyuq; mole. mole; alimpuyuq put on fake mole; full of moles. alipungaq; athletes foot; suffering from athletes foot; conducive to
aliq,See dictionary entry
alistu,A skillful and lively person; acting skillfully
aliwaq,Other; different; to change something; change; difference
alma,Female name
almaq,Almaq rear up. almuranas; hemorrhoids
almusal,Breakfast; to eat breakfast
alpaq,Kind of vegetable; ampalaya
altar,Altar; house shrine
alti,Thunder; (?lightning?); Usually this word is used in curses; as: dipaning alti!
alulud,Thunder; (?lightning?); Usually this word is used in curses; as: dipaning alti!; eaves and drain of roof; heavy drinking. shins; barked shins
aluminyu,Aluminum; cheap money (new coinsas contrasted to the older coins with more silver content)
alun,Wave; motion; wavy; be in wave
alus,Nearly; almost. alwagi/ aluwagi
ama,See dictionary entry
amad,Carpenter; pleasing. conducive to pleasure; cartilage. selfish person; stringy
amanu,Word; language; speech
ambag,Contribution; to contribute
ambun,Dew; overcast; misty; about to rain
ambuq,Nickname for
ambus,See dictionary entry
amiyam,Winter; the cold season from October to January
