Kapampangan,English
Mayap a abak,Good morning
Mayap a gatpanapun,Good afternoon
Mayap a ugtu,Noon time greeting
Mayap a bengi,Good evening
Komusta ka?,How are you
panapaya mu ku,Excuse me
Malaus kayu/ko pu,Welcome
Dakal a Salamat,Many thanks
Siklod pu,Kissing the hand of elderly
Dispu(contracted),Response to kissing hand by elderly
Kaluguran da ka,I love you
Agaganaka da ka/Pagdulapan da ka,I miss you
Magkanu ini?,How much is this?
Mangan ta na,Let’s eat
Mengan na ka?,Have you eaten?
Nanu ing pengan mu?,What have you eaten?
Tara na,Let’s go
Muli ta na,Let’s go home
Mako na ka,You can go/leave
Atiu na ku / Atiu na kami,I’m here / We’re here
Nokarin ka munta?,Where are you going?
Nokarin ka ibat?,Where have you been?
Makananu munta king,How to go to
Saliwan ke ini /ita,I will buy this/that
Buri ke ini/ita,I likes this/that
Pilan na ka banwa?,How old are you?
Nanu maliari kung daptan keka?,What can I do for you?
Lakwan da ka,I will leave you
Mimingat ka,Take care
Mekeni(contracted: Munta ka keni),Go here
Munta ka karin,Go There
Wa,Yes
Ali,No
Tuknang,Stop
Galo,Move
Lagwa,Faster
Panagkas,Curse/swear words
Metung,One
Adua,Two
Atlu,Three
Apat,Four
Lima,Five
Anam,Six
Pitu,Seven
Walu,Eight
Siyam,Nine
Apulu,Ten
Dinalan,One Hundred
Adwang dalan,Two Hundred
Manyaman,Delicious
Maslam,Sour
Matsura,Ugly
Marimla,Cold
Mapali,Hot
Malati,Small
Marayuput,Viscous
Malanyo,Runny/Watery
Madagul,Big
Makuyad,Short
Dakal,Plenty
Ditak,Few
Makaba,Long
Matas,High
Mababa,Low
Mataram,Sharp
Malabug,Blurry
Maraya,Bloody
Malangi,Dry
Malisangan,Sultry/Humid
Mabanglu,Aromatic
Mabuluk,Stinking
Malawut,Far
Malapit,Near
Matas ya,It is high
Malalam ya,It is deep
Mitmu / sapak,Full
"Malagu ka (female), Masanting ka (male)",You are beautiful/handsome
Malagad,Rare
Maralas,Frequent
Paralayunan,Direction to the fields
Samal,Too much excited
Masala,Too bright
Madalumdum,Dark
Malulam,Overcast
Mauran,Rainy
Makalbug,Flooded
Madinat,Dirty
Matalusad / Mataluras,Slippery
Sabla,Every
Póta,Later
Keni,Here
Keta / Karin,There
Kayli,Left
Wanan,Right
Babo,Up / Overhead
Lalam,Low / Underhead
Manik,Go Upstairs
Tipa,Go Downstairs
Papalub,Going inside/Inward
Papaluwal,Going outside/Outward
Albugan,Westward
Amianan,Northward
Aslagan,Eastward
Abagatan,Southward
Ima / Indu,Mother
Tatang/Ibpa,Father
Pengari,Parent
Koya,Older brother
Achi,Older Sister
Kapatad,Sibling
Ingkong,Grandfather
Apu,Grandmother
Dara,Aunt
Bapa,Uncle
Pisan,Cousin
Wali,Younger Sibling
Pisan alang pilatan,First Cousin
tanaman,Plant
Sampaga,Flower
Punu,Tree
Ayup,Bird in general
Dagis,Mouse
Asu,Dog
Pusa,Cat
Babi,Pig
Sese,Pet
Sisi,Chick
Luklukan,Chair
Pasbul,Door
Bale,House
Awang,Window
Eran,Stairs
Danum,Water
Pamangan,Food
Pader,Wall
Saken,Vehicle
Tete,Bridge
Sulu,Light
Malan,Clothes
Salol,Short pants
Ulnan,Pillow
Ulas,Blanket
Pitudturan,Bed
Ayun,Earthquake
Pangabait,Birthday
Salol,Short Pants
Sambra,Sweater
Balen,Town
Lakanbalen,Capital
Dinan,Give
Munta; Went – Minta,Go
Lakwan,Leave
Dugpa,To land
Sulapo,Fly
Pulayi,Run
Lukdang,Jump
Dakurak,Step on
Manako,Steal
Mangoryet,Pilfer or Filching
Tuknang,Stop
Kumwa,Get
Manyawad,Ask/Request something
Sali,Buy
Gili,Slice
Gulisakan,To shout
Sumabi,To Speak
Pyalungan,To play
Babandian,To own
Miblas,To wear/don clothes
Samasnan,To fix
Pututan,To cut
Mangamanung kapagmasakitan,To apologize
Ilupan,Slurp
Aldukan,Gulp
Makipagtalamitam,Actively Participate
Awsan,To call
Mamipi,To wash clothes
Mamadwas,To catch fish
Banwa,Year
Bulan,Month
Aldo,Day
Oras,Hour
Minutu,Minute
Mapupus ning <bulan>,End of <month>
Pota,Later
Ngeni,Now
Maranun,Early
Mitalwi,Arrive Late
Buntuk,Head
Mata,Eyes
Balugbug,Ears
Arung,Nose
Lupa,Face
Kanuan,Forehead
Batal,Neck
Tundun,Nape
Asbuk,Mouth
Ipan,Teeth
Dila,Tongue
Takde,Upper Arm
Gamat,Hands
Taliri,Finger
Panuldu,Forefinger
Tindaragul,Thumb
Kuku,Finger Nails
Siku,Elbow
Bitis,Feet
Dungus,Upper Stomach
Atiyan,Lower Stomach
Pusad,Navel
Salu,Chest
Pago,Shoulder
Papaluan,Hips
Buldit,Buttocks
Tud,Knee
Lulud,Shin
Puad,Upper Leg
Butit,Lower Leg
Bugal,Rectum
