Kapampangan,English
gapis,banana
gapas,cut
gapus,a chain
kiskis,friction
kaskas,scratch
kuskus,confusion
siksik,crowding
saksak,stab
suksuk,thorns
kiling,mane of a horse
kalang,a stove
kulung,trapped
ante,where?
anti,like
bengi,night
bingiq,seed
bule,vegetable
buli,polish
eran,stairs
irap,eyelash
ket,bite
kit,see
misa,mass
mesa,table
laso,ribbon
lasu,"digest, melt"
menus,lacking
menos,washed
puta,whore
pota,later
tamu,we (incl.)
tamo,ginger
naku,an exclamatory expression
nako,an exclamatory expression
paru,shrimp
paro,shrimp
buto,penis
butuq,penis
pabo,turkey
babo,upstairs
aba,whatǃ?
apa,rice
babai,woman
babiq,pig
qablas,dress (v.)
qapqap,a kind of fish
atab,high tide
atap,roof
lub,inside
mayap,good
dala,carry
talaq,a bright star
tangke,stem
dasa,mat
atad,escort (v.)
edad,age
matilus,sharp
madilaw,yellow
duldul,thunder
tultul,light a smoke
lapat,exact fit
lapad,width
lumut,moss
lumud,drown
kimuq,clumsy
ginu,master
aga,friendly
agad,immediately
agiq,spider web
kaku,mine
aku,I
agkat,signal (v.)
suksuk,thorn
abak,morning
ambag,contribute
tiktik,drain (v.)
tigtig,play music
tseke,check
tsesa,kind of fruit
dyanan,lend
dyis,ten
atsan,stomach
atsata,large bedpan
adyaran,coconut
maip,good
menus,lacking
na,his
ne,isn't it?
nga,indeed
ngeni,now
naman,in turn
nanan,what happened?
bangaq,a hardwood
amlat,legend
anyaya,invite
damdam,sense (v.)
nandin,a while ago
nangnang,barbecue
pin,definately
sim,sheet of iron
singsign,ring
siping,near
suha,pomelo (a fruit)
syano,a male name
akasya,acasia tree
asawa,wife
suksuk,thorn
kaskas,scratch
hambug,boast
hapon,Japan
hardin,garden
heneral,general
bahala,responsibility
banahaw,name of a mountain
lihim,secret
puhunan,capital
kalahan,a reel
pwersahan,force (v.)
tindahan,store
birhen,virgin
kahinhinan,honesty
abah,an exlaimation
katih,water level
lalam,beneath
lugal,place
alaq,none
rilis,"rails, tracks"
kuldas,get off of
kuliglig,cicada
almusal,breakfast
kulkul,dig
radyo,radio
regalo,gift
reklamo,complaint
riport,a report
rosas,pink
marine,shamed
maririya,jealous
kobrador,collector
yelo,ice
yero,steel
amyam,winter
liyas,lice
mayuyut,tumbling
Duray,a girl's name
petsay,Chinese lettuce
walu,eight
wanan,right side
bwak,hair (head)
liwas,exchange places
paksiw,a dish of food
syopaw,Chinese hamburger
taw,person
ápiq,line
apíq,fire
báko,mangrove
bakó,red heron (bird)
kámaruq,a cricket
kamarúq,fist
mámaq,mister
mamáq,chew pepper
páliq,heat
palíq,urine
púlis,wipe
pulís,police
salábat,interrupt
salabát,a rice wine
dalo---dalawan,visit
datang---datangan,arrive
laso---lasawan,"digest, melt"
imuq---imawan,wash
lusuq---luksuan,jump
lako---lakawan,leave
dakup---dakpan,catch
abu---abwan,ash
tukiq---tukyan,accompany
balbas,beard
mamalbas,to shave
payat,thin
mamayat,to grow thin
damdam,to sense
panamdam,feelings
tiwalaq,belief
maniwalaq,to believe
gambulan,plant
mangambul,"to cultivate, plant"
kutang,question
mangutang,to ask
daraq,beat (v.)
kukuq,fingernail
qapqap,a kind of fish
sipqun,mucus
magqobra,work
magqalmusal,to eat breakfast
meqatake,was attacked
Nanung buri mo?,What do you want?
Nanung gawan mo potang bengi?,What are you doing tonight?
Ating magadang kanta sa radyo.,There's a good song on the radio.
