Kapampangan,English
Abac,morning (dawn to noon); morning meal
Abaca,abaca; hemp plant
Abay,companion; to accompany someone
Abala,disruption; impediment; feast or celebration (idiomatic)
Abang,lying in wait; to ambush; fish trap
Abao,food leftovers saved for the next meal
Abad,slight wound; small cut
Abat,obstacle that springs up suddenly; to accost
Abiac,newborn piglet; suckling pig
Ab-Biay,to give
Ab-Biang,inner fiber of palm bark (e.g. palma brava); used for cordage
Abias,non cooked rice (TEST)
Abit,strong pull or tug; to stretch
Ablang,crack or fissure in dry ground
Ab-Blas,reward; recompense; to change clothes
Abli,payment received for goods sold or bought
Abloc,persuasion; to persuade
Ablus,to take over another persons load; to relieve someone of a burden
Ab-Bua,steam rising from boiling or heat
Ab-Bual,uprooted; overturned
Abubut,small bamboo box or pouch with a lid
Abulud,ridge along the center of a blade
Abung,lurking; lying in wait; to spy
Abud,rotten wood or log
Abpang,measuring stick used in nipa thatching
Absac,small iron digging bar
Absic,hard despite ripeness; dark spots on root crops
Abtac,"crack or fissure in earth, reed, or log"
Acal,a very bitter medicinal herb
Acala,a bird with sparse feathers
Acdug,sudden fright; shock
Acdut,pinch; small bit; to pinch
Ac-Cla,large snapping prawn or shrimp
Acli,a native hardwood tree of Pampanga
Ac-Clis,a soft cry or exclamation
Aco,to take responsibility for an act; to own up
Acpas,dodging a blow; ducking; swaying of a ship
Acsing,"sharp clashing sound (swords, lightning, coins)"
Actong,to stand firm; to persist
Acua,to bring; to take; to get
Addia,preparation; getting ready
Adlay,patterned after a model or sample
Adta,"sap or milky juice of a plant (papaya, banana, antipolo)"
Ad-Dua,Two
Aga,calm; humble; friendly in manner
Agad,immediately; at once
Agag,fine-mesh sieve or strainer
Ag-Guiat,allied; joined together
Ag-Guio,to be enough; to suffice
Aguit,surpassing; exceeding
Agum,to covet; to keep something selfishly for oneself
Agapay,alongside; beside; to walk side by side
Agas,water erosion cutting into a riverbank
Agcas,great speed with which something is discharged
Agcat,invited to an occasion
Agli,fetus
Aglit,fine carving done with small back-and-forth knife strokes
Agmus,to compress or squeeze together
Agpag,"to shake off or tap loose (dust, insects)"
Aguiag,shaking of a sieve
Ag-Guiaman,although; even though
Aguiap,blister or cracked skin at the corner of the mouth
Agup,mixed or blended (a smaller quantity into a larger)
Agus,current or flow of a river
Agusu,a medicinal tree
Agtal,to measure by spans of the hand
Agtas,to slip out or escape from a restraint
Ai,interjection of surprise or calling attention
Aia,a spiny herb
Alabo,interjection of regret or exasperation
Aiagaiag,clear; obvious; plainly visible
Aiai,thin rattan cord strung to scare birds from rice fields
Ayan,lightness; levity; buoyancy
Ayap,goodness; virtue (physical and moral)
Ayli,laughter
Ain,offering; something presented or dedicated
Ayo,a function word expressing agreement or alignment
Ayquid,to wind thread onto a reel
Ayubu,hemmed edge of a garment (sleeve or pants)
Ayul,tested and hammered to shape; proven by trial
Ayuma,To mend nets
Ayun,Earthquake
Ayop,"Bird, Verb: to hunt them"
Ayun?In,A known small fish
Ayut,"Coitus, copulation"
Ala,"Of negation, there is nothing; Cayalan, lack, emptiness, absence of; verb oMa, to go without anything, lacking, or to say there is nothing"
Alab,"To divide / cut into slices / pieces, like, watermelons, melons etc"
Alabab,"Mamalabab la, said of the noise or sound made by the crocodiles when they fight"
Alac,"Liquor, drawn out, distilled, like, coco wine, Water from flowers, alac sampaga"
Alacac,"Snoring, sound made by one in sleep"
Alacdan,"Alacran, scorpion, a venomous insect"
Alag,"Defective root, used with negation, and means ju st what the examples shall say"
Alaga,The value ofathing
Alagad,Apprentice / disciple: tradesman in the sugar business
Alagas,Split bamboos used in making candles or scaffoldings
Alaya,The dawn
Alayan,Plate in which there are various foods ( in the manner of serving the lords / elderly)
Alal,Chosen foracertain office / duty
Alala,"Attention, regard"
Alalayi,"A false fence or false enclosure, lacking firmness, put up only because animals could not distinguish it fromatrue one, and so they would not enter, even if they could"
Alam,"Calam, generosity, liberality"
Alapaap,the sky; the atmosphere; space between earth and the clouds
Alas,equal; level; aligned (like pages of a well-bound book)
Alasas,A small tree and its leaves good for scrubbing
Alat,"Calat, saltiness"
Alaua,"A small hand-basket used to draw out fish fromasalambao, or fromafish pen"
Alauli,"Whirlpool, spinning movement in the water, which appears now and then at the bend ofariver"
Albag,"Calbag, a swelling"
Albay,to watch a stage play or comedia
Albang,"Malbang, adjective, low land or depressed land: calban?an, the low land, the hollow ground; albang albang, uneven land, high here and low there, like inabad road pock-marked with holes, deep here, shallow there"
Albug,"Lalbug, limbug, lumbug, to inundate, to become submerged or covered"
Alda,"Calda, Crowd/multitude, malda, very many"
Aldao,"The sun, the day"
